Layer,Type,Operation,Average_ms,Minimum_ms,Maximum_ms
Conv1,Conv2D,Other Conv2D,1.1081062999437563,0.737539000056131,2.3189349999483966
expanded_conv_depthwise,DepthwiseConv2D,Depthwise 3x3,1.1418013999900722,0.9194589997605362,1.3510859998859814
expanded_conv_project,Conv2D,Expansion 1x1,0.7466799000212632,0.5805050000162737,1.2504279998211132
block_1_expand,Conv2D,Expansion 1x1,1.4929007999853638,1.322433000041201,1.9865539998136228
block_1_depthwise,DepthwiseConv2D,Depthwise 3x3,0.9268554999835033,0.7889650000834081,1.3230430004114169
block_1_project,Conv2D,Projection 1x1,0.9487725999406393,0.8611299999756739,1.1719809999704012
block_2_expand,Conv2D,Expansion 1x1,1.135713199937527,0.9175959999083716,1.3395749997471285
block_2_depthwise,DepthwiseConv2D,Depthwise 3x3,1.2648033000004943,0.9843410002758901,1.9176149999111658
block_2_project,Conv2D,Projection 1x1,0.9025924999150448,0.8073490002971084,1.0913409996646806
block_3_expand,Conv2D,Expansion 1x1,0.9267103002002841,0.8147940002345422,1.1365639998075494
block_3_depthwise,DepthwiseConv2D,Depthwise 3x3,1.0289852998539573,0.9149799998340313,1.25347299990608
block_3_project,Conv2D,Projection 1x1,0.8763312000155565,0.7669329997952445,1.16122000008545
block_4_expand,Conv2D,Expansion 1x1,0.9605094000562531,0.7495009999729518,1.6799609998088272
block_4_depthwise,DepthwiseConv2D,Depthwise 3x3,1.068801999963398,0.9356890000162821,1.435233999927732
block_4_project,Conv2D,Projection 1x1,1.0500388000309613,0.7983820000845299,1.7605610000828165
block_5_expand,Conv2D,Expansion 1x1,0.9092924000015046,0.7358149996434804,1.3236449999567412
block_5_depthwise,DepthwiseConv2D,Depthwise 3x3,1.0167207000449707,0.9153510000032838,1.1894940003003285
block_5_project,Conv2D,Projection 1x1,0.8215976999963459,0.7156779997785634,0.9413289999429253
block_6_expand,Conv2D,Expansion 1x1,0.9205677999943873,0.823338999907719,1.080890000139334
block_6_depthwise,DepthwiseConv2D,Depthwise 3x3,0.9822631001043192,0.8442000003014982,1.1687060000440397
block_6_project,Conv2D,Projection 1x1,0.9101350999571878,0.7529090003117744,1.3621880002574471
block_7_expand,Conv2D,Expansion 1x1,0.8774750001066423,0.7857800001147552,1.0803720001604233
block_7_depthwise,DepthwiseConv2D,Depthwise 3x3,1.0541633000229922,0.9336160001112148,1.2637749996429193
block_7_project,Conv2D,Projection 1x1,0.9101187999476679,0.7450540001627814,1.2650070002564462
block_8_expand,Conv2D,Expansion 1x1,0.8732768999379914,0.7339429998864944,1.070973999958369
block_8_depthwise,DepthwiseConv2D,Depthwise 3x3,0.9836866000568989,0.8854370003064105,1.0867129999496683
block_8_project,Conv2D,Projection 1x1,0.8158284000273852,0.7495320000998618,1.0583399998722598
block_9_expand,Conv2D,Expansion 1x1,0.9281638000629755,0.7661740000912687,1.4946770002097765
block_9_depthwise,DepthwiseConv2D,Depthwise 3x3,1.1724925999715197,0.9891709996736608,1.5074900002218783
block_9_project,Conv2D,Projection 1x1,0.8335848999649897,0.6990379997660057,1.0706230000323558
block_10_expand,Conv2D,Expansion 1x1,0.9796398999696976,0.8053169999584497,1.3755329996456567
block_10_depthwise,DepthwiseConv2D,Depthwise 3x3,0.9184465999624081,0.8760290002101101,0.979863999873487
block_10_project,Conv2D,Projection 1x1,0.8547230000658601,0.7252059999700577,1.193773999602854
block_11_expand,Conv2D,Expansion 1x1,0.8992407000278035,0.7491319997825485,1.1672949999592674
block_11_depthwise,DepthwiseConv2D,Depthwise 3x3,1.0026860999914788,0.8904169999368605,1.2286289997973654
block_11_project,Conv2D,Projection 1x1,1.0370193999733601,0.8051469999372785,1.369082000110211
block_12_expand,Conv2D,Expansion 1x1,1.0026610000295477,0.7680369999434333,1.4026449998709722
block_12_depthwise,DepthwiseConv2D,Depthwise 3x3,1.0228107999864733,0.9281059997192642,1.1539990000528633
block_12_project,Conv2D,Projection 1x1,0.9176231001220003,0.7742590000816563,1.1987130001216428
block_13_expand,Conv2D,Expansion 1x1,1.0487091999948461,0.8246030001828331,1.4885159998812014
block_13_depthwise,DepthwiseConv2D,Depthwise 3x3,1.1395083000024897,0.864939000166487,1.505557000200497
block_13_project,Conv2D,Projection 1x1,0.8534409001640597,0.773177000155556,1.024066000354651
block_14_expand,Conv2D,Expansion 1x1,0.8500432000346336,0.749712000015279,1.1022920002687897
block_14_depthwise,DepthwiseConv2D,Depthwise 3x3,0.9661076999691431,0.8774919997449615,1.0932049999610172
block_14_project,Conv2D,Projection 1x1,0.8614218999809964,0.8029330001591006,0.9161949997178453
block_15_expand,Conv2D,Expansion 1x1,1.093373399999109,0.7172109999373788,1.6223850002461404
block_15_depthwise,DepthwiseConv2D,Depthwise 3x3,0.9927192000759533,0.8903460002329666,1.2739329999931215
block_15_project,Conv2D,Projection 1x1,1.0071963999507716,0.7839969998713059,1.2110160000702308
block_16_expand,Conv2D,Expansion 1x1,0.8691803000147047,0.7707220001975656,1.152958000147919
block_16_depthwise,DepthwiseConv2D,Depthwise 3x3,0.9252271000605106,0.8463730000585201,1.0988960002578096
block_16_project,Conv2D,Projection 1x1,1.0869856999761396,0.7912109999779204,1.4667340001324192
Conv_1,Conv2D,Other Conv2D,1.0998539000411256,0.8895050000319316,1.4235329999792157
