Layer,Type,Operation,Average_ms,Minimum_ms,Maximum_ms
Conv,Conv2D,Other Conv2D,0.5717981000543659,0.503741000102309,0.7551009998678637
expanded_conv/depthwise,DepthwiseConv2D,Depthwise 3x3,0.6527816000016173,0.552661999790871,0.7844850001674786
expanded_conv/project,Conv2D,Expansion 1x1,0.4885888999524468,0.4347819999566127,0.6990159999986645
expanded_conv_1/expand,Conv2D,Expansion 1x1,0.9954857000138873,0.6656440000369912,1.5645690000383183
expanded_conv_1/depthwise,DepthwiseConv2D,Depthwise 3x3,0.7578338999337575,0.5360019999898213,1.158735999979399
expanded_conv_1/project,Conv2D,Expansion 1x1,0.7406285000342905,0.6624080001529364,0.8546610001758381
expanded_conv_2/expand,Conv2D,Expansion 1x1,0.7299697999314958,0.6259090000639844,0.8194609999918612
expanded_conv_2/depthwise,DepthwiseConv2D,Depthwise 3x3,0.8488497999678657,0.5671300000358315,1.5545839996775612
expanded_conv_2/project,Conv2D,Expansion 1x1,0.7742223999684938,0.6371509998643887,0.9425909997844428
expanded_conv_3/expand,Conv2D,Expansion 1x1,0.8191132999854744,0.6287549999797193,1.110664999941946
expanded_conv_3/depthwise,DepthwiseConv2D,Depthwise 3x3,0.6276283999795851,0.5428549998214294,0.774656999965373
expanded_conv_3/project,Conv2D,Expansion 1x1,0.7602510000197071,0.6591720002688817,1.023622000047908
expanded_conv_4/expand,Conv2D,Expansion 1x1,0.7497726999645238,0.6413480000446725,0.8744839997234521
expanded_conv_4/depthwise,DepthwiseConv2D,Depthwise 3x3,0.9689169999546721,0.7043359996714571,1.5510170001107326
expanded_conv_4/project,Conv2D,Expansion 1x1,0.82200579995515,0.6599630000891921,1.1950530001740844
expanded_conv_5/expand,Conv2D,Expansion 1x1,0.7504599999720085,0.6047800002306758,1.040595000176836
expanded_conv_5/depthwise,DepthwiseConv2D,Depthwise 3x3,1.0030246999122028,0.7942540000840381,1.3581670000348822
expanded_conv_5/project,Conv2D,Expansion 1x1,0.7552431999556575,0.6477100000665814,0.9017649999805144
expanded_conv_6/expand,Conv2D,Expansion 1x1,0.8765576000769215,0.7697780001763022,1.036456999827351
expanded_conv_6/depthwise,DepthwiseConv2D,Depthwise 3x3,0.938382000049387,0.7597789999636007,1.1968750000050932
expanded_conv_6/project,Conv2D,Expansion 1x1,0.7389913999304554,0.6470080002145551,0.8193609996851592
expanded_conv_7/expand,Conv2D,Expansion 1x1,0.7657304000076692,0.6607540003642498,0.8721799999875657
expanded_conv_7/depthwise,DepthwiseConv2D,Depthwise 3x3,1.1152594000122917,0.757254000291141,2.24372200000289
expanded_conv_7/project,Conv2D,Expansion 1x1,0.8821602999887546,0.7411450001200137,1.0406839996903727
expanded_conv_8/expand,Conv2D,Expansion 1x1,0.8389712000735017,0.6773850000172388,1.2193269999443146
expanded_conv_8/depthwise,DepthwiseConv2D,Depthwise 3x3,0.8586921000187431,0.7440899998982786,1.0132039997188258
expanded_conv_8/project,Conv2D,Expansion 1x1,0.7499500999529118,0.6350260000544949,0.9062230001291027
expanded_conv_9/expand,Conv2D,Expansion 1x1,0.7388184000319598,0.666084999920713,0.8342679998349922
expanded_conv_9/depthwise,DepthwiseConv2D,Depthwise 3x3,1.0174647999974695,0.7824520002941426,1.4518019997922238
expanded_conv_9/project,Conv2D,Expansion 1x1,0.7156557000143948,0.6337139998322527,0.9457659998588497
expanded_conv_10/expand,Conv2D,Expansion 1x1,0.83540050004558,0.6821339998168696,1.1359119998815004
expanded_conv_10/depthwise,DepthwiseConv2D,Depthwise 3x3,0.9041221000188671,0.7561730003544653,1.2818349996450706
expanded_conv_10/project,Conv2D,Expansion 1x1,0.702717100011796,0.6149390001155552,0.7965290001266112
Conv_1,Conv2D,Other Conv2D,0.8015623000574124,0.6529400002364127,1.147262999893428
Conv_2,Conv2D,Other Conv2D,1.1442804000580509,0.7308750000447617,1.6396820001318702
Logits,Conv2D,Other Conv2D,1.2318231999870477,0.9546840001348755,1.7048760000761831
